Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2021-03-09 15:42:31 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,E:\DK\DK_T1_Subsample_rextract_plate 2.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,DK_T1_Subsample_2_rextract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-03-09 12:29:25 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,      172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,NOISE,CQCONF,MTP,AMPNC,HIGHSD,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,NTC,Acerv,NTC,SYBR,None,33.240,,,,,,,,,,TRUE,0.043,TRUE,3,31,Amp,,0.934,N,N,N,Y,N,73.106,,,
2,A2,FALSE,NTC,A,NTC,SYBR,None,33.255,,,,,,,,,,TRUE,0.106,TRUE,3,29,Amp,,0.985,N,N,N,Y,N,75.904,,,
3,A3,FALSE,82,Acerv,UNKNOWN,SYBR,None,24.508,24.429,0.112,,,,,,,,TRUE,0.043,TRUE,3,22,Amp,,0.971,N,N,N,N,N,73.527,,,
4,A4,FALSE,82,A,UNKNOWN,SYBR,None,20.916,20.865,0.072,,,,,,,,TRUE,0.106,TRUE,3,17,Amp,,0.966,N,N,N,N,N,85.582,,,
5,A5,FALSE,82,Acerv,UNKNOWN,SYBR,None,24.350,24.429,0.112,,,,,,,,TRUE,0.043,TRUE,3,21,Amp,,0.963,N,N,N,N,N,73.367,,,
6,A6,FALSE,82,A,UNKNOWN,SYBR,None,20.813,20.865,0.072,,,,,,,,TRUE,0.106,TRUE,3,17,Amp,,0.973,N,N,N,N,N,85.412,,,
7,A7,FALSE,84,Acerv,UNKNOWN,SYBR,None,23.972,24.620,0.916,,,,,,,,TRUE,0.043,TRUE,3,21,Amp,,0.989,N,N,N,N,Y,73.379,,,
8,A8,FALSE,84,A,UNKNOWN,SYBR,None,20.437,20.527,0.128,,,,,,,,TRUE,0.106,TRUE,3,16,Amp,,0.979,N,N,N,N,N,85.434,,,
9,A9,FALSE,84,Acerv,UNKNOWN,SYBR,None,25.267,24.620,0.916,,,,,,,,TRUE,0.043,TRUE,3,21,Amp,,0.788,N,Y,N,N,Y,73.552,,,
10,A10,FALSE,84,A,UNKNOWN,SYBR,None,20.618,20.527,0.128,,,,,,,,TRUE,0.106,TRUE,3,17,Amp,,0.982,N,N,N,N,N,85.631,,,
11,A11,FALSE,+,Acerv,UNKNOWN,SYBR,None,6.558,6.505,0.076,,,,,,,,TRUE,0.043,TRUE,3,4,Amp,,0.678,N,Y,N,N,N,73.691,,,
12,A12,FALSE,+,A,UNKNOWN,SYBR,None,7.648,7.481,0.236,,,,,,,,TRUE,0.106,TRUE,3,5,Amp,,0.788,N,Y,N,N,N,85.468,,,
13,B1,FALSE,87,Acerv,UNKNOWN,SYBR,None,24.696,24.797,0.143,,,,,,,,TRUE,0.043,TRUE,3,21,Amp,,0.966,N,N,N,N,N,73.401,,,
14,B2,FALSE,87,A,UNKNOWN,SYBR,None,20.501,20.485,0.022,,,,,,,,TRUE,0.106,TRUE,3,17,Amp,,0.969,N,N,N,N,N,85.329,,,
15,B3,FALSE,87,Acerv,UNKNOWN,SYBR,None,24.899,24.797,0.143,,,,,,,,TRUE,0.043,TRUE,3,20,Amp,,0.979,N,N,N,N,N,73.527,,,
16,B4,FALSE,87,A,UNKNOWN,SYBR,None,20.470,20.485,0.022,,,,,,,,TRUE,0.106,TRUE,3,17,Amp,,0.968,N,N,N,N,N,85.582,,,
17,B5,FALSE,90,Acerv,UNKNOWN,SYBR,None,24.646,23.470,1.663,,,,,,,,TRUE,0.043,TRUE,3,21,Amp,,0.684,N,Y,N,N,Y,73.367,,,
18,B6,FALSE,90,A,UNKNOWN,SYBR,None,20.861,20.739,0.172,,,,,,,,TRUE,0.106,TRUE,3,17,Amp,,0.957,N,N,N,N,N,85.412,,,
19,B7,FALSE,90,Acerv,UNKNOWN,SYBR,None,22.294,23.470,1.663,,,,,,,,TRUE,0.043,TRUE,3,19,Amp,,0.978,N,N,N,N,Y,73.379,,,
20,B8,FALSE,90,A,UNKNOWN,SYBR,None,20.618,20.739,0.172,,,,,,,,TRUE,0.106,TRUE,3,17,Amp,,0.971,N,N,N,N,N,85.434,,,
21,B9,FALSE,97,Acerv,UNKNOWN,SYBR,None,23.302,23.178,0.176,,,,,,,,TRUE,0.043,TRUE,3,20,Amp,,0.948,N,N,N,N,N,73.552,,,
